sort	study	ref	source	species	taxon	thermy	growth	climate_pop	climate_sp	breeding	dispersal	migration	mating	parenting	SSD	ageclass	trait	unit	direction	category	background	Mean_M	SD_M	M_n	Mean_F	SD_F	F_n	dependence	notes
47	421	"Schurch, R; Rothenberger, S; Heg, D"	10.1098/rstb.2010.0177	Neolamprologus pulcher	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	male biased	no	polygyny	both	males larger	unknown	territory defence (subordinant)	number of patches	high values = fast	behaviour	lab	1.5	0.7	54	1.4	0.7	46	0	
30	467	"Vainikka, A; Rantala, MJ; Niemela, P; Hirvonen, H; Kortet, R"	10.1007/s10211-010-0086-1	Astacus astacus	arthropod	ectotherm	unknown	cold	cold	iteroparous	unknown	no	promiscuity	female	males larger	juvenile	Emergence time	s	high values = slow	behaviour	lab	48	59.16079783	35	10	57.64980486	46	0	Fig 2 (control)
27	471	"van den Brink, V; Dreiss, AN; Roulin, A"	10.1016/j.anbehav.2012.07.001	Tyto alba	bird	endotherm	determinate	temperate	global	iteroparous	female biased	no	social monogamy	both	females larger	juvenile	dispersal distance	km	high values = fast	behaviour	wild	8.7	7.53923073	116	11.2	7.475961477	69	0	
54	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	activity-walking forward	s	high values =fast	behaviour	lab	26.19	41.36698684	69	56.85	68.51312283	80	a	"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active"
55	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	climbing	s	high values =fast	behaviour	lab	0.71	2.824252113	69	2.13	4.829906831	80	a	"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active"
56	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	turning around	No	high values =fast	behaviour	lab	0.62	1.661324773	69	0.5	1.341640786	80	a	"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active"
57	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	Walking backwards	s	high values =fast	behaviour	lab	2.25	4.900908079	69	3.61	5.277120427	80	a	"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active"
58	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	Latency to emerge following threat	s	high values = slow	behaviour	lab	69.29	63.46260631	69	56.35	48.92516735	80	0	
59	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	Latency to autotomize limb	s	high values =fast	behaviour	lab	7.97	10.38327983	69	7.83	9.92814182	80	0	
60	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	Latency to emerge post autotomy	s	high values = slow	behaviour	lab	71.64	66.8683221	69	43.71	48.12018288	80	0	
61	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	Latency to emerge	s	high values = slow	behaviour	lab	80.53	69.85870669	69	69.19	58.85330917	80	0	
62	501	"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM"	10.1007/s00265-009-0888-1	Acheta domesticus	arthropod	ectotherm	determinate	artificial	artificial	semelparous	unknown	no	promiscuity	none	males larger	adults	Latency to touch object	s	high values = slow	behaviour	lab	58.2	76.08867458	69	36.93	55.54392856	80	0	
93	516	"Yoder, CL; Maltecca, C; Cassady, JP; Flowers, WL; Price, S; See, MT"	10.1016/j.livsci.2010.08.004	Sus scrofa	mammal	endotherm	determinate	temperate	temperate	iteroparous	male biased	no	polygyny	female	males larger	mixed	load score(activity)	points	high values =fast	behaviour	lab	2.02	1.373790377	2097	2.07	1.552191998	2677	0	
94	516	"Yoder, CL; Maltecca, C; Cassady, JP; Flowers, WL; Price, S; See, MT"	10.1016/j.livsci.2010.08.004	Sus scrofa	mammal	endotherm	determinate	temperate	temperate	iteroparous	male biased	no	polygyny	female	males larger	mixed	scale score (activity)	points	high values =fast	behaviour	lab	2.16	1.373790377	2097	2.17	1.552191998	2677	0	
95	516	"Yoder, CL; Maltecca, C; Cassady, JP; Flowers, WL; Price, S; See, MT"	10.1016/j.livsci.2010.08.004	Sus scrofa	mammal	endotherm	determinate	temperate	temperate	iteroparous	male biased	no	polygyny	female	males larger	mixed	vocal score	points	high values = slow	behaviour	lab	1.1	0.457930126	2097	1.13	0.517397333	2677	0	
269	M106	Rolff et al. 2005		Tenebrio molitor	arthropod	ectotherm	determinate	artificial	global	Semelparous	unknown	No	promiscuity	none	No difference	adults	hemocyte count	count	high values = slow	physiology	semiwild	115.28	132.0226174	435	199.6	246.5256457	435	0	
270	M106	Rolff et al. 2005		Tenebrio molitor	arthropod	ectotherm	determinate	artificial	global	Semelparous	unknown	No	promiscuity	none	No difference	adults	phenoloxidase activity	maximum conversion of substrate per unit time	high values = slow	physiology	semiwild	272.33	249.2370107	435	247.94	203.7695058	435	0	
120	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Post-weaning weight gain Simmental	kg	high values = fast	development	domestic	191	51	2365	131	42	3282	a	
121	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Post-weaning weight gain Charolais	kg	high values = fast	development	domestic	198	51	6145	135	40	10181	b	
125	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Post-weaning weight gain Hereford	kg	high values = fast	development	domestic	157	47	4915	109	34	7536	c	
126	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Weight gain from birth to weaning Simmental	kg	high values = fast	development	domestic	249	46	5077	217	40	5208	a	
129	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Post-weaning weight gain Aberdeen Angus	kg	high values = fast	development	domestic	143	44	739	106	29	840	d	
130	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Weight gain from birth to weaning Charolais	kg	high values = fast	development	domestic	230	44	12624	205	37	15323	b	
131	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Post-weaning weight gain Limousin	kg	high values = fast	development	domestic	189	42	1068	128	33	1616	e	
134	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Weight gain from birth to weaning Hereford	kg	high values = fast	development	domestic	194	38	9492	175	32	11202	c	
135	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Weight gain from birth to weaning Limousin	kg	high values = fast	development	domestic	213	38	2353	192	33	2659	e	
136	M115	Stålhammar and Philipsson 1997 		Bos taurus	mammal	endotherm	determinate	artificial	artificial	Iteroparous	unknown	No	polygyny	Female	males larger	mixed	Weight gain from birth to weaning Aberdeen Angus	kg	high values = fast	development	domestic	185	36	1625	165	30	1643	d	
150	M121	Uhl et al. 2004		Pholcus phalangioides	arthropod	ectotherm	determinate	artificial	global	Iteroparous	male biased	No	promiscuity	Female	males larger	adults	Development time - high food	days	high values = slow	development	semiwild	96.43	20.12	285	103.48	27.35	297	0	"Development time in two different environments, but in different inds, so independent."
151	M121	Uhl et al. 2004		Pholcus phalangioides	arthropod	ectotherm	determinate	artificial	global	Iteroparous	male biased	No	promiscuity	Female	males larger	adults	Development time - low food	days	high values = slow	development	semiwild	103.7	19.82	296	103.96	22.51	286	0	"Development time in two different environments, but in different inds, so independent."
160	M128	Zhang et al. 2000		Sus scrofa domestica	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	mixed	Days from 20 to 100 kg	days	high values = slow	development	domestic	113.9	9.6	4881	114	8.7	4799	0	
157	M135	Tarka et al.		Acrocephalus arundinaceus	bird	endotherm	determinate	cold	global	Iteroparous	no sex bias	Yes	polygyny	female	males larger	adults	lifetime fledglings	count	high values = fast	life history	wild	7.21	9.87	257	5.99	5.99	300	0	
208	M14	Brommer et al. 2007		Ficedula albicollis	bird	endotherm	determinate	cold	global	Iteroparous	female biased	Yes	promiscuity	Both	females larger	adults	Lifetime reproductive success	count	high values = fast	life history	wild	0.92	1.23	3109	0.77	1.16	3972	0	
201	M140	Calsbeek et al. 2015		Anolis sagrei	reptile	ectotherm	determinate	Tropical	Tropical	Iteroparous	no sex bias	No	promiscuity	none	males larger	adults	Reproductive success of offspring that survived to maturity	count	high values = fast	life history	wild	3.19	1.62	290	3.08	1.82	291	0	
232	M141	Fuchikawa and Okada 2013		Gnatocerus cornutus	arthropod	ectotherm	determinate	temperate	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Locomotor activity	m/10min	high values = fast	behaviour	lab	1.339	0.294346734	15	2.844	0.398917285	15	0	
253	M155	Saastamoinen et al. 2012		Bicyclus anynana	arthropod	ectotherm	determinate	artificial	Tropical	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Flight activity	m/h	high values = fast	behaviour	lab	65	86.08292514	147	46.5	126	144	0	used only generation 1 in mean and sd calculations
249	M157	Haugen Aalberg et al. 2012		Pararge aegeria	arthropod	ectotherm	determinate	cold	global	sexspecific	female biased	No	polygyny	none	females larger	juvenile	Larval growth rate - direct -Central pop	log 10 (pupal weight) / larval developmental time	high values = fast	development	semiwild	0.069006556	0.01	NA	0.06770032	0.010488088	NA	a	
250	M157	Haugen Aalberg et al. 2012		Pararge aegeria	arthropod	ectotherm	determinate	cold	global	sexspecific	female biased	No	polygyny	none	females larger	juvenile	Larval growth rate - diapause - Central pop	log 10 (pupal weight) / larval developmental time	high values = fast	development	semiwild	0.053311399	0.007348469	NA	0.056360186	0.007348469	NA	a	
251	M157	Haugen Aalberg et al. 2012		Pararge aegeria	arthropod	ectotherm	determinate	cold	global	sexspecific	female biased	No	polygyny	none	females larger	juvenile	Larval growth rate - direct - Southern pop	log 10 (pupal weight) / larval developmental time	high values = fast	development	semiwild	0.078376381	0.006557439	NA	0.074161985	0.008774964	NA	b	
252	M157	Haugen Aalberg et al. 2012		Pararge aegeria	arthropod	ectotherm	determinate	cold	global	sexspecific	female biased	No	polygyny	none	females larger	juvenile	Larval growth rate - diapause - Southern pop	log 10 (pupal weight) / larval developmental time	high values = fast	development	semiwild	0.045643546	0.005	NA	0.046409548	0.005291503	NA	b	
182	M165	Gay et al 2011		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Longevity	days	high values = slow	life history	lab	18.3	5.458937626	745	11.7	2.905167809	844	0	
159	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	Arid	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - Lavalle	hours	high values = slow	physiology	semiwild	44.28	9.622660755	89	54.08	16.33416665	98	0	
161	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	Arid	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - San Blas	hours	high values = slow	physiology	semiwild	51.7	8.561051337	109	62.62	14.66475366	118	0	
162	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	Arid	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - Chilecito	hours	high values = slow	physiology	semiwild	43.17	8.490365128	143	55.71	16.71195979	151	0	
163	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	Arid	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - San Juan	hours	high values = slow	physiology	semiwild	50.21	8.482145955	107	65.12	12.17186921	114	0	
167	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	temperate	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - Güemes	hours	high values = slow	physiology	semiwild	48.04	7.853241369	94	61.48	13.76735269	104	0	
168	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	Arid	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - Cachi	hours	high values = slow	physiology	semiwild	45.27	7.768088568	58	61.54	13.11147589	68	0	
175	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	Arid	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - San Rafael	hours	high values = slow	physiology	semiwild	40.72	6.384982381	130	56.66	11.08222902	142	0	
176	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	temperate	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - Barreal	hours	high values = slow	physiology	semiwild	49.42	6.297428046	136	58.58	11.19542764	136	0	
180	M168	Goenaga et al. 2010		Drosophila melanogaster	arthropod	ectotherm	determinate	Arid	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Starvation resistance - Jáchal	hours	high values = slow	physiology	semiwild	53.67	6.029925373	101	65.75	5.87332955	110	0	
124	M169	Hallsson and Björklund 2012		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Development time - white	days	high values = slow	development	lab	23.923	48.45147024	1728	24.095	45.71553693	1729	a	"fullsib split design so each treatment and replicate contains fullsibs, so there is independence on two levels - between all treatments and replicates (1) and between treatments (letters)"
127	M169	Hallsson and Björklund 2012		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Development time - white	days	high values = slow	development	lab	25.259	45.24894365	1728	25.345	43.88097699	1729	a	"fullsib split design so each treatment and replicate contains fullsibs, so there is independence on two levels - between all treatments and replicates (1) and between treatments (letters)"
140	M169	Hallsson and Björklund 2012		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Development time - red	days	high values = slow	development	lab	24.871	32.90543055	1728	25.044	31.081475	1729	b	"fullsib split design so each treatment and replicate contains fullsibs, so there is independence on two levels - between all treatments and replicates (1) and between treatments (letters)"
141	M169	Hallsson and Björklund 2012		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Development time - trend	days	high values = slow	development	lab	25.388	31.53746389	1728	25.087	31.99345277	1729	c	"fullsib split design so each treatment and replicate contains fullsibs, so there is independence on two levels - between all treatments and replicates (1) and between treatments (letters)"
144	M169	Hallsson and Björklund 2012		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Development time - red	days	high values = slow	development	lab	25.518	27.87894841	1728	25.69	25.14301509	1729	b	"fullsib split design so each treatment and replicate contains fullsibs, so there is independence on two levels - between all treatments and replicates (1) and between treatments (letters)"
145	M169	Hallsson and Björklund 2012		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Development time - control	days	high values = slow	development	lab	25.087	26.05499286	1728	25.259	26.96697063	1729	d	"fullsib split design so each treatment and replicate contains fullsibs, so there is independence on two levels - between all treatments and replicates (1) and between treatments (letters)"
146	M169	Hallsson and Björklund 2012		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Development time - trend	days	high values = slow	development	lab	26.25	26.05499286	1728	26.207	26.05499286	1729	c	"fullsib split design so each treatment and replicate contains fullsibs, so there is independence on two levels - between all treatments and replicates (1) and between treatments (letters)"
148	M169	Hallsson and Björklund 2012		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Development time - control	days	high values = slow	development	lab	25.69	23.30845515	1728	25.992	24.22043293	1729	d	"fullsib split design so each treatment and replicate contains fullsibs, so there is independence on two levels - between all treatments and replicates (1) and between treatments (letters)"
204	M170	Hallsson and Björklund 2011		Callosobruchus maculatus	arthropod	ectotherm	determinate	artificial	global	Semelparous	male biased	No	polygyny	none	females larger	adults	Developmental time	days	high values = slow	development	lab	24.67	1.43	1643	24.52	1.4	1265	0	
177	M172	Williams et al. 2012		Drosophila melanogaster	arthropod	ectotherm	determinate	temperate	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Heat resistance	minutes	high values = slow	physiology	semiwild	35.75	6.123632582	919	26.135	7.366548106	919	0	
97	M175	Schroderus et al. 2010		Myodes glareolus	mammal	endotherm	determinate	cold	temperate	Iteroparous	male biased	No	promiscuity	Female	No difference	unknown	Primary (anti-BGG) antibody response	log10 U/mL	high values = slow	physiology	semiwild	5.32	0.56	295	5.14	0.68	456	0	
98	M175	Schroderus et al. 2010		Myodes glareolus	mammal	endotherm	determinate	cold	temperate	Iteroparous	male biased	No	promiscuity	Female	No difference	unknown	Total imunoglobulin G level (IgG)	log10 U/mL	high values = slow	physiology	semiwild	6.02	0.25	323	6.16	0.25	515	0	
194	M178	Bubliy et al. 2012		Drosophila melanogaster	arthropod	ectotherm	determinate	temperate	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Heat shock resistance - humid - parents	min	high values = slow	physiology	lab	84.84	2.35	128	69.06	1.55	130	0	"same trait in different environments, but parents not necessaryily related"
216	M178	Bubliy et al. 2012		Drosophila melanogaster	arthropod	ectotherm	determinate	temperate	global	Iteroparous	unknown	No	promiscuity	none	females larger	adults	Heat shock resistance - dry (stress) - parents	min	high values = slow	physiology	lab	48.26	0.86	125	53.06	0.79	125	0	"same trait in different environments, but parents not necessaryily related"
109	M189	Forstmeier et al. 2009		Taeniopygia guttata	bird	endotherm	determinate	artificial	Arid	Iteroparous	no sex bias	No	social monogamy	Both	No difference	adults	Mean pitch	Hz	high values =fast	behaviour	lab	846	281	189	604	70	190	0	
110	M189	Forstmeier et al. 2009		Taeniopygia guttata	bird	endotherm	determinate	artificial	Arid	Iteroparous	no sex bias	No	social monogamy	Both	No difference	adults	Mean frequency	Hz	high values =fast	behaviour	lab	3857	276	189	3778	306	190	0	
122	M189	Forstmeier et al. 2009		Taeniopygia guttata	bird	endotherm	determinate	artificial	Arid	Iteroparous	no sex bias	No	social monogamy	Both	No difference	adults	Call duration	ms	high values =fast	behaviour	lab	205	50	189	292	40	190	0	
188	M189	Forstmeier et al. 2009		Taeniopygia guttata	bird	endotherm	determinate	artificial	Arid	Iteroparous	no sex bias	No	social monogamy	Both	No difference	adults	Amplitude	db	high values =fast	behaviour	lab	55.67	3.38	189	52.72	4.01	190	0	
112	M190	House et al. 2008		Nicrophorus vespilloides	arthropod	ectotherm	determinate	temperate	global	Iteroparous	no sex bias	No	social monogamy	Both	females larger	adults	Mating speed	seconds	high values = slow	behaviour	semiwild	180.58	207.9547085	582	190.06	250.962916	603	0	
200	M190	House et al. 2008		Nicrophorus vespilloides	arthropod	ectotherm	determinate	temperate	global	Iteroparous	no sex bias	No	social monogamy	Both	females larger	adults	Mating frequency	count	high values = fast	behaviour	semiwild	3.68	1.688727331	582	3.65	1.473363499	603	0	
283	M194	Svensson et al. 2009		Uta stansburiana	reptile	ectotherm	determinate	temperate	Arid	Iteroparous	male biased	No	promiscuity	none	males larger	adults	Antibody responsiveness	units/ml	high values = slow	physiology	wild	9.991368	20.19899394	195	9.1121	20.19899159	285	0	
113	M197	Saintilan et al. 2012		Sus scrofa	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	unknown	ADFI average daily feed intake	g/day	high values = fast	physiology	domestic	2021	178	1121	1974	163	508	0	
117	M197	Saintilan et al. 2012		Sus scrofa	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	unknown	ADG average daily gain	g/day	high values = fast	physiology	domestic	837	92	1121	746	70	508	0	
236	M197	Saintilan et al. 2012		Sus scrofa	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	unknown	FCR feed conversion ratio	kg feed/kg gain	high values = slow	physiology	domestic	2.43	0.19	1121	2.66	0.18	508	0	
114	M201	Walling et al. 2008		Nicrophorus vespilloides	arthropod	ectotherm	determinate	temperate	global	Iteroparous	no sex bias	No	social monogamy	Both	females larger	adults	Direct parental care	s	high values = slow	behaviour	semiwild	288	176.8304272	225	329	156.9171756	256	0	
118	M201	Walling et al. 2008		Nicrophorus vespilloides	arthropod	ectotherm	determinate	temperate	global	Iteroparous	no sex bias	No	social monogamy	Both	females larger	adults	Indirect parental care	s	high values = slow	behaviour	semiwild	66.3	85.83705494	225	62.5	85.41077215	256	0	
155	M201	Walling et al. 2008		Nicrophorus vespilloides	arthropod	ectotherm	determinate	temperate	global	Iteroparous	no sex bias	No	social monogamy	Both	females larger	adults	Family size (number of offspring)	count	high values = fast	life history	semiwild	26.5	10.86278049	225	26.8	10.63014581	256	0	
233	M202	Yoshida et al. 2015		Oreochromis niloticus	fish	ectotherm	indeterminate	Tropical	Arid	Iteroparous	unknown	No	polygyny	Female	males larger	adults	Daily weight gain 4	g	high values = fast	development	domestic	1.04	0.27	973	0.76	0.2	747	a	same individuals measured at different stages of life
235	M202	Yoshida et al. 2015		Oreochromis niloticus	fish	ectotherm	indeterminate	Tropical	Arid	Iteroparous	unknown	No	polygyny	Female	males larger	adults	Daily weight gain 3	g	high values = fast	development	domestic	0.83	0.22	973	0.62	0.17	747	a	same individuals measured at different stages of life
237	M202	Yoshida et al. 2015		Oreochromis niloticus	fish	ectotherm	indeterminate	Tropical	Arid	Iteroparous	unknown	No	polygyny	Female	males larger	adults	Daily weight gain 2	g	high values = fast	development	domestic	0.66	0.18	973	0.52	0.14	747	a	same individuals measured at different stages of life
245	M202	Yoshida et al. 2015		Oreochromis niloticus	fish	ectotherm	indeterminate	Tropical	Arid	Iteroparous	unknown	No	polygyny	Female	males larger	adults	Daily weight gain 1	g	high values = fast	development	domestic	0.5	0.14	973	0.42	0.12	747	a	same individuals measured at different stages of life
173	M205	Boratynski et al. 2013		Myodes glareolus	mammal	endotherm	determinate	cold	global	Iteroparous	male biased	No	promiscuity	Female	No difference	adults	BMR	ml O2/h	high values = fast	physiology	semiwild	44.9	6.77	184	39.8	5.83	161	0	
191	M213	Carriere 1994		Choristoneura rosaceana	arthropod	ectotherm	determinate	cold	cold	unknown	no sex bias	No	promiscuity	none	females larger	unknown	Development time	days	high values = slow	development	semiwild	21.8	2.6	197	24.1	2.6	162	0	
107	M216	Karino et al. 2005		Poecilia reticulata	fish	ectotherm	indeterminate	Arid	Tropical	Iteroparous	male biased	No	promiscuity	none	females larger	adults	Food searching ability	s	high values = slow	behaviour	semiwild	1264.7	524.6	22	1484.6	534.4	22	0	
184	M219	Lewis et al. 2011		Plodia interpunctella	arthropod	ectotherm	determinate	artificial	global	Semelparous	unknown	No	promiscuity	none	females larger	mixed	Development time	days	high values = slow	development	lab	27.88	4.819958506	120	26.44	2.96863605	153	0	
197	M219	Lewis et al. 2011		Plodia interpunctella	arthropod	ectotherm	determinate	artificial	global	Semelparous	unknown	No	promiscuity	none	females larger	mixed	Longevity	days	high values = slow	life history	lab	8.26	1.752712184	120	5.83	1.484318025	153	0	
217	M22	Coltman et al. 2001		Ovis aries	mammal	endotherm	determinate	temperate	global	Iteroparous	male biased	No	polygyny	Female	males larger	adults	Summer fecal egg count 	Loge(Count)	high values = fast	physiology	wild	1.63	0.82	493	0.92	0.83	576	0	
238	M29	Crump et al. 1997		Sus scrofa domestica	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	juvenile	Average daily food intake Env 3	kg	high values = fast	physiology	domestic	2.14	0.172046505	621	1.93	0.172046505	1654	0	
239	M29	Crump et al. 1997		Sus scrofa domestica	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	juvenile	Food conversion ratio Env 3	ratio	high values = slow	physiology	domestic	2.3	0.172046505	621	2.55	0.172046505	1654	0	
246	M29	Crump et al. 1997		Sus scrofa domestica	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	juvenile	Average daily gain Env 3	kg	high values = fast	development	domestic	0.94	0.102567051	621	0.76	0.102567051	1654	0	
149	M35	Foerster et al. 2007		Cervus elaphus	mammal	endotherm	determinate	temperate	cold	Iteroparous	male biased	Yes	polygyny	Female	males larger	adults	Lifetime Reproductive Success	count	high values = fast	life history	wild	21.9	21.9	284	22.7	20.5	301	a	Different measures of the same reproductive output
153	M35	Foerster et al. 2007		Cervus elaphus	mammal	endotherm	determinate	temperate	cold	Iteroparous	male biased	Yes	polygyny	Female	males larger	adults	Yearly contribution to population growth (pti)	offspring per year adjusted	high values = fast	life history	wild	1.8	16	2116	8	13	2852	a	Different measures of the same reproductive output
192	M41	Hanrahan and Eisen 1973		Mus musculus	mammal	endotherm	determinate	artificial	global	Iteroparous	no sex bias	No	polygyny	Female	males larger	mixed	Body weight gain from week 3 to 6	g	high values = fast	development	lab	17.89	2.533771892	2568	13.02	2.530810147	2562	0	
133	M45	Havill et al. 2004		Papio hamadryas	mammal	endotherm	determinate	unknown	Arid	Iteroparous	no sex bias	No	polygyny	female	males larger	mixed	Serum bone-specific alkaline phosphatase	U/L	high values = fast	physiology	semiwild	52.2	38.74	213	41.52	19.3	444	0	
116	M46	Hicks et al. 1999		Sus scrofa domestica	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	adults	Average daily gain	g	high values = fast	development	domestic	777.6	108.2	757	725.9	105.9	1476	0	
119	M71	Merks 1986 		Sus scrofa domestica	mammal	endotherm	determinate	artificial	global	Iteroparous	male biased	No	polygyny	Female	males larger	mixed	Daily gain on test GY	g	high values = fast	development	domestic	824	52	1863	786	49	3726	0	
