sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
32,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,Time spent in flower pot NE,s,high values = slow,behavior,lab,332.64,258.47,23,439.1,289.66,20,exploration,0,1,1,"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming ",1,,1
33,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,No. of fin spreads NE,No,high values = fast,behavior,lab,5.53,5.83,23,4.4,5.6,20,exploration,0,1,1,"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming ",1,,1
34,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,Time spent in flower pot NO,s,high values = slow,behavior,lab,747.34,403.24,23,811.78,396.53,20,exploration,0,1,1,"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there ",1,,1
35,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,Time spent in hot zone NO,s,high values = fast,behavior,lab,116.91,141.59,23,127.84,160.07,20,exploration,0,1,1,"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there ",1,,1
36,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,No. of touched objects,No,high values = fast,behavior,lab,1.39,1.85,23,1.21,1.9,20,exploration,0,1,1,"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there ",1,,1
37,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,No. of fin spreads,No,high values = fast,behavior,lab,5.91,8.1,23,2.73,3.89,20,exploration,0,1,1,"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there ",1,,1
38,421,"Schurch, R; Rothenberger, S; Heg, D",10.1098/rstb.2010.0177,Neolamprologus pulcher,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,polygyny,both,males larger,unknown,territory defence (dominant),number of patches,high values = fast,behavior,lab,3.1,1.9,26,1.8,1,26,?,,,, ,0,"not a POLS a trait, ",0
39,421,"Schurch, R; Rothenberger, S; Heg, D",10.1098/rstb.2010.0177,Neolamprologus pulcher,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,polygyny,both,males larger,unknown,territory defence (subordinant),number of patches,high values = fast,behavior,lab,1.5,0.7,54,1.4,0.7,46,?,,,, ,0,"not a POLS a trait, ",0
40,368,"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP",10.1093/beheco/arp142,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,shoaling with opposite sex (first move),s,high values = slow,behavior,semiwild,18.3,19.79898987,32,14.9,12.80585803,31,boldness,0,1,1,the time to first move is included in the time to surface ,1,,1
41,368,"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP",10.1093/beheco/arp142,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,shoaling with same sex (first move),s,high values = slow,behavior,semiwild,13.5,27.71858582,32,44.2,57.34797294,31,boldness,0,1,1,the time to first move is included in the time to surface ,1,,1
42,368,"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP",10.1093/beheco/arp142,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,shoaling with opposite sex (time to surface),s,high values = slow,behavior,semiwild,233.2,193.4644153,32,159.9,185.4065533,31,boldness,0,1,1,the time to first move is included in the time to surface ,1,,1
43,368,"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP",10.1093/beheco/arp142,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,shoaling with same sex (time to surface),s,high values = slow,behavior,semiwild,72,102.9547473,32,299.6,221.5970216,31,boldness,0,1,1,the time to first move is included in the time to surface ,1,,1
44,19,"Ariyomo, TO; Watt, PJ",10.1093/beheco/art070,Poecilia reticulata,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,male biased,no,promiscuity,none,females larger,adults,lines crossed in Open field,No,high values = fast,behavior,lab,106.23,39.80201,80,77.8,50.35625085,80,boldness,0,0,0, ,1,,1
45,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,activity-walking forward,s,high values = fast,behavior,lab,26.19,41.36698684,69,56.85,68.51312283,80,activity,0,1,1,"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active ",1,,1
46,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,climbing,s,high values = fast,behavior,lab,0.71,2.824252113,69,2.13,4.829906831,80,activity,0,1,1,"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active ",1,,1
47,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,turning around,No,high values = fast,behavior,lab,0.62,1.661324773,69,0.5,1.341640786,80,activity,0,1,1,"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active ",1,,1
48,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Walking backwards,s,high values = fast,behavior,lab,2.25,4.900908079,69,3.61,5.277120427,80,activity,0,1,1,"all variables given an ""a"" come from the same test. All behaviours can only be performed while being active and add up to 100 % time spect active ",1,,1
49,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to emerge following threat,s,high values = slow,behavior,lab,69.29,63.46260631,69,56.35,48.92516735,80,boldness,0,1,2, ,1,,1
50,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to autotomize limb,s,high values = fast,behavior,lab,7.97,10.38327983,69,7.83,9.92814182,80,boldness,0,1,2, ,1,,1
51,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to emerge post autotomy,s,high values = slow,behavior,lab,71.64,66.8683221,69,43.71,48.12018288,80,boldness,0,1,2, ,1,,1
52,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to emerge,s,high values = slow,behavior,lab,80.53,69.85870669,69,69.19,58.85330917,80,boldness,0,1,2, ,1,,1
53,501,"Wilson, ADM; Whattam, EM; Bennett, R; Visanuvimol, L; Lauzon, C; Bertram, SM",10.1007/s00265-009-0888-1,Acheta domesticus,arthropod,ectotherm,determinate,artificial,artificial,semelparous,unknown,no,promiscuity,none,males larger,adults,Latency to touch object,s,high values = slow,behavior,lab,58.2,76.08867458,69,36.93,55.54392856,80,boldness,0,1,2, ,1,,1
54,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,316.67,558.7133521,18,300,495.0737418,18,boldness,0,1,0,"From Figure 1: strain 1 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT;  Individuals originate from 10 breeding pairs (beetles), offspring randomly spread over treatments ",1,,1
55,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,1.869,5.663925317,18,2.884,11.66726189,18,boldness,0,2,0,From Figure 1: strain 1 selected for SHORTduration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
56,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,275,424.3489215,18,366.68,707.2482025,18,boldness,0,3,0,From Figure 1: strain 2 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
57,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,3.978,7.929495444,18,0.935,2.380121425,18,boldness,0,4,0,From Figure 1: strain 2  selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
58,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,358.35,488.0012598,18,150,141.4496405,18,boldness,0,5,0,From Figure 1: strain 3  selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
59,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,1.842,3.966869042,18,2.537,6.796710381,18,boldness,0,6,0,From Figure 1: strain 3 selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
60,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,66.66,106.1084436,18,65.01,70.72482025,18,NA,,,,From Figure 1: strain 1 selected for LONG duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
61,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,0.347,0.907925107,18,3.875,9.062280508,18,NA,,,,From Figure 1: strain 1 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
62,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,83.33,70.72482025,18,65.01,70.72482025,18,NA,,,,From Figure 1: strain 2 selected for LONG duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
63,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,3.605,11.10299068,18,4.005,6.796710381,18,NA,,,,From Figure 1: strain 2 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
64,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,16.67,14.14496405,18,15.003,14.14496405,18,NA,,,,From Figure 1: strain 3  selected for LONG duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
65,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,duration of tonic immobility,s,high values = slow,behavior,lab,1.842,4.043236575,18,1.068,2.151018828,18,NA,,,,From Figure 1: strain 3 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
66,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,616.655,952.2935706,34,466.66,641.340568,34,boldness,0,1,0,From Figure 3: strain 1 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
67,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,910.35,932.8939937,34,1290.586,870.7010607,34,boldness,0,2,0,From Figure 3: strain 1 selected for SHORTduration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
68,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,433.33,388.6912533,34,466.66,680.2096933,34,boldness,0,3,0,From Figure 3: strain 2 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
69,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,693.29,590.8328626,34,970.606,932.8939937,34,boldness,0,4,0,From Figure 3: strain 2 selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
70,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,466.66,583.03688,34,459.994,835.6861946,34,boldness,0,5,0,From Figure 3: strain 3 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
71,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,1279.92,1959.077387,34,1274.587,2456.62085,34,boldness,0,6,0,From Figure 3: strain 3 selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT ,1,,1
72,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,966.65,777.3825066,34,1026.664,874.5553199,34,NA,,,,From Figure 3: strain 1 selected for LONGduration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
73,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,1093.265,621.9293291,34,1509.239,1306.051591,34,NA,,,,From Figure 3: strain 1 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
74,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,733.32,777.3825066,34,766.65,971.7281333,34,NA,,,,From Figure 3: strain 2 selected for LONG duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
75,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,1253.225,777.4116614,34,1119.93,995.0869266,34,NA,,,,From Figure 3: strain 2 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
76,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,893.324,874.5553199,34,933.32,874.5553199,34,NA,,,,From Figure 3: strain 3 selected for LONG duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
77,340,"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T",10.1016/j.jinsphys.2012.02.011,Tribolium confusum,arthropod,ectotherm,determinate,artificial,artificial,semelparous,no sex bias,no,promiscuity,none,no difference,adults,Waling activity,mm,high values = fast,behavior,lab,901.277,839.6045943,34,1189.259,932.8939937,34,NA,,,,From Figure 3: strain 3 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT ,0,", levels dropped because too complicated dependencies",0
78,221,Isaksson et al.,10.1163/000579511X574204,Egernia whitii,reptile,ectotherm,unknown,temperate,temperate,iteroparous,no sex bias,no,polygyny,none,no difference,adults,Testosterone,ng/ml,high values = fast,physiology,semiwild,20.81,5.780795793,6,1.76,1.98,9,NA,0,0,0, ,1,,1
79,324,"Montiglio, PO; Garant, D; Thomas, D; Reale, D",10.1016/j.anbehav.2010.08.014,Mus musculus,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,no,polygyny,female,males larger,adults,open field activity,No,high values = fast,behavior,lab,2321.88,10104.69404,191,2449.33,10306.82667,205,activity,0,0,0, ,1,,1
80,516,"Yoder, CL; Maltecca, C; Cassady, JP; Flowers, WL; Price, S; See, MT",10.1016/j.livsci.2010.08.004,Sus scrofa,mammal,endotherm,determinate,temperate,temperate,iteroparous,male biased,no,polygyny,female,males larger,mixed,load score(activity),points,high values = fast,behavior,lab,2.02,1.373790377,2097,2.07,1.552191998,2677,activity,0,1,1, ,1,,1
81,516,"Yoder, CL; Maltecca, C; Cassady, JP; Flowers, WL; Price, S; See, MT",10.1016/j.livsci.2010.08.004,Sus scrofa,mammal,endotherm,determinate,temperate,temperate,iteroparous,male biased,no,polygyny,female,males larger,mixed,scale score (activity),points,high values = fast,behavior,lab,2.16,1.373790377,2097,2.17,1.552191998,2677,activity,0,1,1, ,1,,1
82,516,"Yoder, CL; Maltecca, C; Cassady, JP; Flowers, WL; Price, S; See, MT",10.1016/j.livsci.2010.08.004,Sus scrofa,mammal,endotherm,determinate,temperate,temperate,iteroparous,male biased,no,polygyny,female,males larger,mixed,vocal score,points,high values = slow,behavior,lab,1.1,0.457930126,2097,1.13,0.517397333,2677,stress-coping,0,1,0, ,1,,1
83,324,"Montiglio, PO; Garant, D; Thomas, D; Reale, D",10.1016/j.anbehav.2010.08.014,Tamias striatus,mammal,endotherm,determinate,cold,temperate,iteroparous,male biased,no,promiscuity,female,females larger,mixed,open field activity,line crosses,high values = fast,behavior,semiwild,4.51,4.387185886,74,4.38,6.097540488,88,activity,0,0,0, ,1,,1
84,M175,Schroderus et al. 2010,,Myodes glareolus,mammal,endotherm,determinate,cold,temperate,iteroparous,male biased,No,promiscuity,Female,No difference,unknown,Primary (anti-BGG) antibody response,log10 U/mL,high values = slow,physiology,semiwild,5.32,0.56,295,5.14,0.68,456,NA,0,1,NA, ,1,,1
85,M175,Schroderus et al. 2010,,Myodes glareolus,mammal,endotherm,determinate,cold,temperate,iteroparous,male biased,No,promiscuity,Female,No difference,unknown,Total imunoglobulin G level (IgG),log10 U/mL,high values = slow,physiology,semiwild,6.02,0.25,323,6.16,0.25,515,NA,0,1,NA, ,1,,1
86,M216,Karino et al. 2005,,Poecilia reticulata,fish,ectotherm,indeterminate,Arid,Tropical,iteroparous,male biased,No,promiscuity,none,females larger,adults,Food searching ability,s,high values = slow,behavior,semiwild,1264.7,524.6,22,1484.6,534.4,22,foraging,0,0,0,"how does this behavior work on the POLS-scale?, ",0,", not a POLS trait",0
87,M85,Pavitt et al. 2014,,Cervus elaphus,mammal,endotherm,determinate,temperate,cold,iteroparous,male biased,Yes,polygyny,Female,males larger,juvenile,testosterone level in calves,pg/ml,high values = fast,physiology,wild,423.52,379.1371783,420,358.36,316.0315532,434,NA,0,0,NA, ,1,,1
88,M189,Forstmeier et al. 2009,,Taeniopygia guttata,bird,endotherm,determinate,artificial,Arid,iteroparous,no sex bias,No,social monogamy,both,No difference,adults,Mean pitch,Hz,high values = fast,behavior,lab,846,281,189,604,70,190,?,0,1,1,"how does this behavior work on the POLS-scale?, ",0,", not a POLS trait",0
89,M189,Forstmeier et al. 2009,,Taeniopygia guttata,bird,endotherm,determinate,artificial,Arid,iteroparous,no sex bias,No,social monogamy,both,No difference,adults,Mean frequency,Hz,high values = fast,behavior,lab,3857,276,189,3778,306,190,?,0,1,1,"how does this behavior work on the POLS-scale?, ",0,", not a POLS trait",0
90,M190,House et al. 2008,,Nicrophorus vespilloides,arthropod,ectotherm,determinate,temperate,global,iteroparous,no sex bias,No,social monogamy,both,females larger,adults,Mating speed,seconds,high values = slow,behavior,semiwild,180.58,207.9547085,582,190.06,250.962916,603,?,0,1,?,"how does this behavior work on the POLS-scale?, ",0,", not a POLS trait",0
91,M197,Saintilan et al. 2012,,Sus scrofa,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,unknown,ADFI average daily feed intake,g/day,high values = fast,physiology,domestic,2021,178,1121,1974,163,508,NA,0,1,NA, ,1,,1
92,M201,Walling et al. 2008,,Nicrophorus vespilloides,arthropod,ectotherm,determinate,temperate,global,iteroparous,no sex bias,No,social monogamy,both,females larger,adults,Direct parental care,s,high values = slow,behavior,semiwild,288,176.8304272,225,329,156.9171756,256,parenting,0,1,1, ,1,,1
93,M46,Hicks et al. 1999,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,adults,Average daily gain,g,high values = fast,development,domestic,777.6,108.2,757,725.9,105.9,1476,NA,0,0,NA, ,1,,
94,M197,Saintilan et al. 2012,,Sus scrofa,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,unknown,ADG average daily gain,g/day,high values = fast,physiology,domestic,837,92,1121,746,70,508,NA,0,1,NA, ,1,,1
95,M201,Walling et al. 2008,,Nicrophorus vespilloides,arthropod,ectotherm,determinate,temperate,global,iteroparous,no sex bias,No,social monogamy,both,females larger,adults,Indirect parental care,s,high values = slow,behavior,semiwild,66.3,85.83705494,225,62.5,85.41077215,256,parenting,0,1,1, ,1,,1
96,M71,Merks 1986 ,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,mixed,Daily gain on test GY,g,high values = fast,development,domestic,824,52,1863,786,49,3726,NA,0,0,NA, ,1,,1
97,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Post-weaning weight gain Simmental,kg,high values = fast,development,domestic,191,51,2365,131,42,3282,NA,1,1,NA, ,1,,1
