sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
305,A393,"McCowan, LSC; Mainwaring, MC; Prior, NH; Griffith, SC",10.1093/beheco/aru239,Taeniopygia guttata,bird,,,,,iteroparous,,,social monogamy,both,,,Feeder exploration - breeders,total no of different feeders visited over the entire 28-day period,high values = fast,behavior,wild,17.81,3.958181401,17,16.06,2.955909336,14,exploration,0,2,0,include ,1,,1
306,A8,"Anderson, HB; Thompson, ME; Knott, CD; Perlins, L",10.1016/j.jhevol.2007.05.014,Pongo pygmaeus,mammal,,,,,iteroparous,,,polygyny,,,,age at first reproduction,y,high values = slow,life history,captive,17.8,6.351692688,60,15.5,5.253265651,88,NA,0,1,NA, ,1,,1
307,A8,"Anderson, HB; Thompson, ME; Knott, CD; Perlins, L",10.1016/j.jhevol.2007.05.014,Pongo abelii,mammal,,,,,iteroparous,,,polygyny,,,,age at first reproduction,y,high values = slow,life history,captive,19.4,6.139014579,67,16.4,5.527431592,101,NA,0,2,NA, ,1,,1
308,A8,"Anderson, HB; Thompson, ME; Knott, CD; Perlins, L",10.1016/j.jhevol.2007.05.014,Pongo pygmaeus,mammal,,,,,iteroparous,,,polygyny,,,,age at last reproduction,y,high values = slow,life history,captive,24.7,4.05299889,12,29,5.654555685,15,NA,0,1,NA, ,1,,1
309,A8,"Anderson, HB; Thompson, ME; Knott, CD; Perlins, L",10.1016/j.jhevol.2007.05.014,Pongo abelii,mammal,,,,,iteroparous,,,polygyny,,,,age at last reproduction,y,high values = slow,life history,captive,26.3,8.392705166,23,26.2,6.172714152,24,NA,0,2,NA, ,1,,1
310,A11,"Angelier, F; Ballentine, B; Holberton, RL; Marra, PP; Greenberg, R",10.1111/j.1420-9101.2011.02260.x,Melospiza g. nigrescens,bird,,,,,iteroparous,,,social monogamy,both,,,baseline corticosterone,ng/ml,high values = slow,physiology,wild,1.9,6.988633629,10,2.2,4.646682042,6,NA,1,0,NA,Fig1 ,1,,1
311,A11,"Angelier, F; Ballentine, B; Holberton, RL; Marra, PP; Greenberg, R",10.1111/j.1420-9101.2011.02260.x,Melospiza g. georgiana,bird,,,,,iteroparous,,,social monogamy,both,,,baseline corticosterone,ng/ml,high values = slow,physiology,wild,2.1,4.996398703,10,1.4,4.198425419,6,NA,2,0,NA,Fig1 ,1,,1
312,A11,"Angelier, F; Ballentine, B; Holberton, RL; Marra, PP; Greenberg, R",10.1111/j.1420-9101.2011.02260.x,Melospiza g. nigrescens,bird,,,,,iteroparous,,,social monogamy,both,,,stress corticosterone,ng/ml,high values = slow,physiology,wild,22,2.371708245,10,11,2.40001005,6,NA,1,0,NA,Fig1 ,1,,0
313,A11,"Angelier, F; Ballentine, B; Holberton, RL; Marra, PP; Greenberg, R",10.1111/j.1420-9101.2011.02260.x,Melospiza g. georgiana,bird,,,,,iteroparous,,,social monogamy,both,,,stress corticosterone,ng/ml,high values = slow,physiology,wild,7.5,0.999279741,10,11,1.800374961,6,NA,2,0,NA,Fig1 ,1,,0
314,A12,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O",10.1016/j.ygcen.2007.12.001,Pygoscelis adeliae,bird,,,,,iteroparous,,,social monogamy,both,,,pre-trip corticosterone,ng/ml,high values = slow,physiology,wild,19.03,6.6626121,6,12.94,4.14,9,NA,1,1,NA, ,1,,0
315,A12,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O",10.1016/j.ygcen.2007.12.001,Pygoscelis adeliae,bird,,,,,iteroparous,,,social monogamy,both,,,post-trip corticosterone,ng/ml,high values = slow,physiology,wild,7.79,2.008581589,6,7.55,3.042614008,7,NA,1,1,NA, ,1,,0
316,A12,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O",10.1016/j.ygcen.2007.12.001,Pygoscelis adeliae,bird,,,,,iteroparous,,,social monogamy,both,,,pre-trip body condition,,high values = fast,physiology,wild,0.21,1.17,9,-0.43,0.87,9,NA,2,1,NA, ,1,,0
317,A12,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O",10.1016/j.ygcen.2007.12.001,Pygoscelis adeliae,bird,,,,,iteroparous,,,social monogamy,both,,,post-trip body condition,,high values = fast,physiology,wild,0.3,1.074802307,8,-0.11,0.99,9,NA,2,1,NA, ,1,,0
